dataset,mean_ibs_cox,sd_ibs_cox,mean_ibs_rsf,sd_ibs_rsf,missingness_lvl,mechanism,pipeline,model,pipeline_id
rotterdam_missing_50_MCAR.csv_pipeline_0_2_5_10_10_16_COX_cleaned,0.1975822001705203,0.0240627539628591,0.186400219535104,0.0167828372039283,50,MCAR,L,COX,3
rotterdam_missing_50_MCAR.csv_pipeline_0_3_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1944213272758296,0.0192117147083625,50,MCAR,L,COX,4
rotterdam_missing_50_MCAR.csv_pipeline_0_4_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1944213272758296,0.0192117147083625,50,MCAR,L,COX,5
rotterdam_missing_50_MCAR.csv_pipeline_0_5_10_0_16_COX_cleaned,0.1975822001705203,0.0240627539628591,0.186400219535104,0.0167828372039283,50,MCAR,L,COX,6
rotterdam_missing_50_MCAR.csv_pipeline_0_6_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2296354250506379,0.0247795411831939,50,MCAR,L,COX,7
rotterdam_missing_50_MCAR.csv_pipeline_0_7_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2415586569350538,0.0343236981330106,50,MCAR,L,COX,8
rotterdam_missing_50_MCAR.csv_pipeline_0_8_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1944213272758296,0.0192117147083625,50,MCAR,L,COX,9
rotterdam_missing_50_MCAR.csv_pipeline_0_9_10_0_16_COX_cleaned,0.628491174503431,0.0421555504567265,0.1923974894266436,0.0187770811650694,50,MCAR,L,COX,10
rotterdam_missing_20_MCAR.csv_pipeline_0_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1851240483045873,0.0170561758710973,20,MCAR,L,COX,1
rotterdam_missing_20_MCAR.csv_pipeline_0_1_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1851240483045873,0.0170561758710973,20,MCAR,L,COX,2
rotterdam_missing_20_MCAR.csv_pipeline_0_2_5_10_10_16_COX_cleaned,0.204326086690106,0.0257663945829424,0.1916081348998952,0.0184460918101905,20,MCAR,L,COX,3
rotterdam_missing_20_MCAR.csv_pipeline_0_3_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1851240483045873,0.0170561758710973,20,MCAR,L,COX,4
rotterdam_missing_20_MCAR.csv_pipeline_0_4_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1851240483045873,0.0170561758710973,20,MCAR,L,COX,5
rotterdam_missing_20_MCAR.csv_pipeline_0_5_10_0_16_COX_cleaned,0.204326086690106,0.0257663945829424,0.1916081348998952,0.0184460918101905,20,MCAR,L,COX,6
rotterdam_missing_20_MCAR.csv_pipeline_0_6_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2281997775365768,0.0249953793821685,20,MCAR,L,COX,7
rotterdam_missing_20_MCAR.csv_pipeline_0_7_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1851240483045873,0.0170561758710973,20,MCAR,L,COX,8
rotterdam_missing_20_MCAR.csv_pipeline_0_8_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1851240483045873,0.0170561758710973,20,MCAR,L,COX,9
rotterdam_missing_20_MCAR.csv_pipeline_0_9_10_0_16_COX_cleaned,0.628491174503431,0.0421555504567265,0.18395780641061,0.0173085169777919,20,MCAR,L,COX,10
rotterdam_missing_30_MCAR.csv_pipeline_0_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1889344128840568,0.0207871120225206,30,MCAR,L,COX,1
rotterdam_missing_30_MCAR.csv_pipeline_0_1_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1889344128840568,0.0207871120225206,30,MCAR,L,COX,2
rotterdam_missing_30_MCAR.csv_pipeline_0_2_5_10_10_16_COX_cleaned,0.2085940635444745,0.0279567455113155,0.1937740073126077,0.0204542311196205,30,MCAR,L,COX,3
rotterdam_missing_30_MCAR.csv_pipeline_0_3_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1889344128840568,0.0207871120225206,30,MCAR,L,COX,4
rotterdam_missing_30_MCAR.csv_pipeline_0_4_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1889344128840568,0.0207871120225206,30,MCAR,L,COX,5
rotterdam_missing_30_MCAR.csv_pipeline_0_5_10_0_16_COX_cleaned,0.2085940635444745,0.0279567455113155,0.1937740073126077,0.0204542311196205,30,MCAR,L,COX,6
rotterdam_missing_30_MCAR.csv_pipeline_0_6_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2289177175914781,0.0236093996691219,30,MCAR,L,COX,7
rotterdam_missing_30_MCAR.csv_pipeline_0_7_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2415586569350538,0.0343236981330106,30,MCAR,L,COX,8
rotterdam_missing_30_MCAR.csv_pipeline_0_8_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1889344128840568,0.0207871120225206,30,MCAR,L,COX,9
rotterdam_missing_30_MCAR.csv_pipeline_0_9_10_0_16_COX_cleaned,0.628491174503431,0.0421555504567265,0.1893480494852893,0.0207752625693051,30,MCAR,L,COX,10
rotterdam_missing_40_MCAR.csv_pipeline_0_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1919098701282689,0.0190517389391952,40,MCAR,L,COX,1
rotterdam_missing_40_MCAR.csv_pipeline_0_1_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1919098701282689,0.0190517389391952,40,MCAR,L,COX,2
rotterdam_missing_40_MCAR.csv_pipeline_0_2_5_10_10_16_COX_cleaned,0.21309718778599,0.0279800976250954,0.2020822986930047,0.0202203175444195,40,MCAR,L,COX,3
rotterdam_missing_40_MCAR.csv_pipeline_0_3_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1919098701282689,0.0190517389391952,40,MCAR,L,COX,4
rotterdam_missing_40_MCAR.csv_pipeline_0_4_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1919098701282689,0.0190517389391952,40,MCAR,L,COX,5
rotterdam_missing_40_MCAR.csv_pipeline_0_5_10_0_16_COX_cleaned,0.21309718778599,0.0279800976250954,0.2020822986930047,0.0202203175444195,40,MCAR,L,COX,6
rotterdam_missing_40_MCAR.csv_pipeline_0_6_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2288043872601953,0.0256097862012078,40,MCAR,L,COX,7
rotterdam_missing_40_MCAR.csv_pipeline_0_7_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2415586569350538,0.0343236981330106,40,MCAR,L,COX,8
